item_s1,name_s1,visual_s1,auditory_s1,evolved_mod_s1,,item_s2,name_s2,visual_s2,auditory_s2,evolved_mod_s2
round1,nak,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round1.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\nak.wav,spoken,,round2,kulka,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round2.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\kulka.wav,spoken
round3,munilk,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round3.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\munilk.wav,spoken,,round3,milka,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round3.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\milka.wav,spoken
round5,nuilk,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round5.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\nuilk.wav,spoken,,round4,ilka,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round4.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\ilka.wav,spoken
sharp10,manuilk,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp10.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\manuilk.wav,spoken,,sharp12,kutka,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp12.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\kutka.wav,spoken
sharp12,manilk,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp12.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\manilk.wav,spoken,,sharp7,kika,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp7.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\kika.wav,spoken
sharp8,nailk,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp8.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\nailk.wav,spoken,,sharp9,kilka,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp9.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\kilka.wav,spoken
round2,lumk,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round2.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\lumk.wav,written,,round1,nipal,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round1.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\nipal.wav,written
round4,inlup,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round4.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\inlup.wav,written,,round5,lukn,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round5.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\lukn.wav,written
round6,akmil,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round6.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\akmil.wav,written,,round6,altmil,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\round6.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\altmil.wav,written
sharp11,nipat,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp11.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\nipat.wav,written,,sharp8,tumi,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp8.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\tumi.wav,written
sharp7,ilka,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp7.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\ilka.wav,written,,sharp10,linu,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp10.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\linu.wav,written
sharp9,pimpu,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp9.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\pimpu.wav,written,,sharp11,pimpak,C:\Users\l5kang\Documents\Lumi\Evo_mod\image\sharp11.png,C:\Users\l5kang\Documents\Lumi\Evo_mod\audio_converted\pimpak.wav,written
