phase,block,trial,object_name,object_image,selected,correct,response_time
Initial_Presentation,1,1,manuilk,sharp10,,,
Initial_Presentation,1,2,nailk,sharp8,,,
Initial_Presentation,1,3,pimpu,sharp9,,,
Initial_Presentation,1,4,akmil,round6,,,
Initial_Presentation,1,5,inlup,round4,,,
Initial_Presentation,1,6,ilka,sharp7,,,
Initial_Presentation,1,7,nuilk,round5,,,
Initial_Presentation,1,8,munilk,round3,,,
Initial_Presentation,1,9,nak,round1,,,
Initial_Presentation,1,10,lumk,round2,,,
Initial_Presentation,1,11,manilk,sharp12,,,
Initial_Presentation,1,12,nipat,sharp11,,,
Initial_Presentation,2,1,nak,round1,,,
Initial_Presentation,2,2,munilk,round3,,,
Initial_Presentation,2,3,nailk,sharp8,,,
Initial_Presentation,2,4,pimpu,sharp9,,,
Initial_Presentation,2,5,lumk,round2,,,
Initial_Presentation,2,6,nipat,sharp11,,,
Initial_Presentation,2,7,inlup,round4,,,
Initial_Presentation,2,8,manuilk,sharp10,,,
Initial_Presentation,2,9,manilk,sharp12,,,
Initial_Presentation,2,10,akmil,round6,,,
Initial_Presentation,2,11,nuilk,round5,,,
Initial_Presentation,2,12,ilka,sharp7,,,
Recognition_training,1,1,nak,round1,,False,
Recognition_training,1,2,pimpu,sharp9,,False,
Recognition_training,1,3,nuilk,round5,,False,
Recognition_training,1,4,munilk,round3,,False,
Recognition_training,1,5,lumk,round2,,False,
Recognition_training,1,6,nipat,sharp11,,False,
Recognition_training,1,7,manuilk,sharp10,,False,
Recognition_training,1,8,akmil,round6,,False,
Recognition_training,1,9,nailk,sharp8,,False,
Recognition_training,1,10,inlup,round4,,False,
Recognition_training,1,11,ilka,sharp7,,False,
Recognition_training,1,12,manilk,sharp12,,False,
Recognition_training,2,1,manilk,sharp12,,False,
Recognition_training,2,2,nailk,sharp8,,False,
Recognition_training,2,3,lumk,round2,,False,
Recognition_training,2,4,nak,round1,,False,
Recognition_training,2,5,nuilk,round5,,False,
Recognition_training,2,6,pimpu,sharp9,,False,
Recognition_training,2,7,akmil,round6,,False,
Recognition_training,2,8,munilk,round3,,False,
Recognition_training,2,9,ilka,sharp7,,False,
Recognition_training,2,10,manuilk,sharp10,,False,
Recognition_training,2,11,inlup,round4,,False,
Recognition_training,2,12,nipat,sharp11,,False,
Initial_Presentation_2,1,1,nuilk,round5,,,
Initial_Presentation_2,1,2,ilka,sharp7,,,
Initial_Presentation_2,1,3,lumk,round2,,,
Initial_Presentation_2,1,4,nailk,sharp8,,,
Initial_Presentation_2,1,5,nak,round1,,,
Initial_Presentation_2,1,6,nipat,sharp11,,,
Initial_Presentation_2,1,7,manuilk,sharp10,,,
Initial_Presentation_2,1,8,munilk,round3,,,
Initial_Presentation_2,1,9,akmil,round6,,,
Initial_Presentation_2,1,10,manilk,sharp12,,,
Initial_Presentation_2,1,11,pimpu,sharp9,,,
Initial_Presentation_2,1,12,inlup,round4,,,
Initial_Presentation_2,2,1,pimpu,sharp9,,,
Initial_Presentation_2,2,2,inlup,round4,,,
Initial_Presentation_2,2,3,manilk,sharp12,,,
Initial_Presentation_2,2,4,nailk,sharp8,,,
Initial_Presentation_2,2,5,nak,round1,,,
Initial_Presentation_2,2,6,lumk,round2,,,
Initial_Presentation_2,2,7,nipat,sharp11,,,
Initial_Presentation_2,2,8,akmil,round6,,,
Initial_Presentation_2,2,9,manuilk,sharp10,,,
Initial_Presentation_2,2,10,munilk,round3,,,
Initial_Presentation_2,2,11,nuilk,round5,,,
Initial_Presentation_2,2,12,ilka,sharp7,,,
Name_Learning,1,1,inlup,round4,,False,
Name_Learning,1,2,nuilk,round5,,False,
Name_Learning,1,3,akmil,round6,,False,
Name_Learning,1,4,manuilk,sharp10,,False,
Name_Learning,1,5,manilk,sharp12,,False,
Name_Learning,1,6,ilka,sharp7,,False,
Name_Learning,1,7,pimpu,sharp9,,False,
Name_Learning,1,8,nak,round1,,False,
Name_Learning,1,9,nailk,sharp8,,False,
Name_Learning,1,10,nipat,sharp11,,False,
Name_Learning,1,11,lumk,round2,,False,
Name_Learning,1,12,munilk,round3,,False,
Name_Learning,2,1,pimpu,sharp9,,False,
Name_Learning,2,2,manuilk,sharp10,,False,
Name_Learning,2,3,munilk,round3,,False,
Name_Learning,2,4,akmil,round6,,False,
Name_Learning,2,5,nailk,sharp8,,False,
Name_Learning,2,6,manilk,sharp12,,False,
Name_Learning,2,7,nuilk,round5,,False,
Name_Learning,2,8,nak,round1,,False,
Name_Learning,2,9,inlup,round4,,False,
Name_Learning,2,10,ilka,sharp7,,False,
Name_Learning,2,11,nipat,sharp11,,False,
Name_Learning,2,12,lumk,round2,,False,
